Cit;Ano;Mes;Temp_Dia01;Temp_Dia02;Temp_Dia03;Temp_Dia04;Temp_Dia05;Temp_Dia06;Temp_Dia07;Temp_Dia08;Temp_Dia09;Temp_Dia10;Temp_Dia11;Temp_Dia12;Temp_Dia13;Temp_Dia14;Temp_Dia15;Temp_Dia16;Temp_Dia17;Temp_Dia18;Temp_Dia19;Temp_Dia20;Temp_Dia21;Temp_Dia22;Temp_Dia23;Temp_Dia24;Temp_Dia25;Temp_Dia26;Temp_Dia27;Temp_Dia28;Temp_Dia29;Temp_Dia30;Temp_Dia31;Prec_Dia01;Prec_Dia02;Prec_Dia03;Prec_Dia04;Prec_Dia05;Prec_Dia06;Prec_Dia07;Prec_Dia08;Prec_Dia09;Prec_Dia10;Prec_Dia11;Prec_Dia12;Prec_Dia13;Prec_Dia14;Prec_Dia15;Prec_Dia16;Prec_Dia17;Prec_Dia18;Prec_Dia19;Prec_Dia20;Prec_Dia21;Prec_Dia22;Prec_Dia23;Prec_Dia24;Prec_Dia25;Prec_Dia26;Prec_Dia27;Prec_Dia28;Prec_Dia29;Prec_Dia30;Prec_Dia31;Evap_Dia01;Evap_Dia02;Evap_Dia03;Evap_Dia04;Evap_Dia05;Evap_Dia06;Evap_Dia07;Evap_Dia08;Evap_Dia09;Evap_Dia10;Evap_Dia11;Evap_Dia12;Evap_Dia13;Evap_Dia14;Evap_Dia15;Evap_Dia16;Evap_Dia17;Evap_Dia18;Evap_Dia19;Evap_Dia20;Evap_Dia21;Evap_Dia22;Evap_Dia23;Evap_Dia24;Evap_Dia25;Evap_Dia26;Evap_Dia27;Evap_Dia28;Evap_Dia29;Evap_Dia30;Evap_Dia31
Juiz de Fora;2012;01;20,30;17,88;19,84;19,14;20,84;20,00;20,12;18,38;17,18;18,40;19,22;20,44;21,44;22,48;23,42;22,38;22,92;22,24;22,00;21,96;21,76;22,00;21,92;22,20;22,78;21,90;18,64;18,42;17,40;18,84;18,76;20,0;54,8;14,8;0,0;17,0;0,0;8,6;4,4;82,8;8,8;13,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;39,5;61,8;57,0;11,8;0,5;0,2;0,4;2,1;1,2;2,0;1,5;0,5;0,2;0,3;0,7;0,8;1,5;2,5;3,6;2,4;2,2;3,3;2,7;2,2;2,2;2,0;2,5;2,9;3,0;4,3;2,2;0,5;0,3;0,3;0,7
Juiz de Fora;2012;02;21,18;21,62;21,10;22,00;22,70;23,28;24,70;25,30;24,38;23,76;22,24;21,50;20,82;21,40;null;20,12;19,78;21,28;20,86;21,62;21,06;20,88;22,54;23,72;23,28;23,28;24,44;24,34;23,96;null;null;8,6;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;21,0;41,4;0,0;0,0;0,0;5,4;2,4;0,0;0,0;0,0;0,0;15,4;12,2;0,0;0,0;0,0;0,0;0,0;null;null;0,7;2,0;3,0;1,9;3,2;3,6;1,5;4,8;4,7;3,5;2,5;1,3;1,7;1,6;2,4;3,0;1,8;1,2;1,5;1,3;2,2;2,8;2,2;2,0;4,2;3,5;4,6;4,0;2,7;null;null
Juiz de Fora;2012;03;24,46;25,10;22,74;22,16;22,38;21,04;21,18;21,46;22,54;21,22;20,22;21,38;20,60;21,60;22,06;19,80;20,38;18,48;17,92;20,10;21,98;23,54;22,76;23,32;20,90;22,48;22,20;20,50;18,10;20,34;19,90;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,4;3,0;6,4;8,4;16,6;0,0;0,0;0,8;4,2;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;33,6;0,0;3,2;3,2;null;4,9;3,1;3,2;9,6;3,4;2,0;2,1;3,6;3,6;5,9;4,1;2,0;2,0;0,7;1,4;2,7;1,5;0,7;1,5;2,6;3,4;1,7;1,8;0,6;2,1;3,0;1,0;1,0;1,3
Juiz de Fora;2012;04;20,00;20,90;21,18;22,08;22,02;22,10;21,22;21,88;20,16;21,08;20,88;20,84;20,92;22,98;21,56;18,16;18,80;19,32;18,56;19,28;19,46;18,22;17,78;19,50;19,90;20,90;21,12;19,44;19,32;18,00;null;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;34,4;0,0;0,0;0,8;0,0;0,0;16,6;0,0;2,2;0,0;0,0;0,4;0,0;2,0;6,0;null;2,0;1,5;1,7;5,6;2,4;3,0;2,0;1,5;1,8;1,8;1,7;1,2;1,6;3,3;2,6;1,2;2,0;1,3;2,0;1,7;2,3;2,0;3,0;0,2;2,4;0,9;2,3;2,7;0,4;1,1;null
Juiz de Fora;2012;05;13,54;14,68;16,58;16,76;17,96;17,82;16,92;15,44;16,52;18,12;19,52;19,68;null;14,70;14,04;14,82;15,42;15,04;null;null;null;null;null;null;null;null;null;null;null;null;null;36,2;4,0;0,0;0,0;0,0;1,6;0,0;0,0;11,7;0,0;0,0;0,0;null;0,2;40,8;3,2;0,0;0,0;9,8;null;null;null;null;null;null;null;null;null;null;null;null;0,8;0,6;2,1;1,5;1,0;1,5;1,5;4,4;0,8;0,8;1,5;1,5;null;null;1,0;0,5;1,1;1,4;1,5;null;null;null;null;null;null;null;null;null;null;null;null
Juiz de Fora;2012;06;null;19,34;19,56;null;null;null;null;null;null;null;null;null;null;null;null;17,64;17,96;null;null;null;null;null;null;null;null;null;null;null;null;18,44;null;null;0,0;0,0;0,0;0,0;28,4;4,2;2,6;null;null;0,0;8,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;9,0;null;null;0,0;0,0;0,0;0,0;0,0;0,0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Juiz de Fora;2012;07;18,96;null;null;null;null;null;null;null;null;null;null;null;null;16,16;14,70;null;14,80;14,78;12,92;14,94;17,32;19,30;20,60;20,30;19,46;19,56;18,64;17,10;17,84;17,26;17,32;0,0;0,0;0,0;0,0;0,0;0,0;null;null;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;2,0;1,5;4,0;2,6;2,4;null;null;2,4;1,6;2,0;3,6;1,8;4,4;3,2;1,9;0,0;2,7;1,0;1,9;2,9;2,7;3,7;3,6;5,2;2,9;3,8;3,3;1,7;3,7;2,3
Juiz de Fora;2012;08;16,42;17,36;18,20;18,96;18,24;14,78;14,32;16,66;16,00;16,96;16,96;17,26;18,14;16,60;15,72;15,94;15,80;15,94;16,10;15,74;16,20;16,14;16,54;16,40;17,12;17,28;18,54;18,04;16,32;15,58;16,70;1,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;1,0;0,9;2,4;3,0;3,8;3,2;1,6;2,5;1,9;2,6;2,5;2,5;2,0;1,0;1,5;1,2;0,9;1,3;3,0;3,0;1,5;2,8;2,0;2,2;2,6;1,4;3,0;2,0;2,1;3,4
Juiz de Fora;2012;09;18,66;20,24;18,14;16,22;16,42;19,80;21,30;21,64;23,32;22,28;23,42;21,70;19,56;17,96;18,40;20,70;22,22;23,66;25,78;21,82;18,84;15,16;14,34;16,96;19,38;11,60;11,48;12,78;14,40;14,94;null;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;37,4;0,2;0,0;0,0;32,4;2,6;0,0;0,0;0,0;null;3,4;3,4;4,5;null;0,3;2,0;2,5;4,5;5,2;5,8;5,0;5,0;3,0;1,6;1,6;1,5;4,2;5,0;5,7;8,0;4,0;0,0;1,2;1,6;2,0;2,2;1,5;2,5;3,0;3,3;null
Juiz de Fora;2012;10;17,84;20,30;20,60;21,50;20,98;20,66;20,10;20,12;20,38;21,74;21,66;16,84;16,26;15,54;15,50;18,44;19,14;21,62;18,68;20,86;22,96;23,56;23,42;22,22;22,18;23,20;24,62;27,08;23,78;25,90;25,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;21,2;0,9;0,1;0,0;0,0;0,0;0,0;9,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;4,4;3,0;6,0;3,5;4,0;4,3;3,7;3,5;3,8;3,5;3,3;4,8;5,5;4,5;1,2;0,9;1,5;1,4;2,0;3,0;4,0;2,5;4,0;2,0;4,4;4,8;3,9;3,7;3,2;6,4;2,1;4,0;7,1
Juiz de Fora;2012;11;21,82;17,84;17,72;19,34;19,40;20,78;20,74;20,88;18,56;17,90;20,40;22,10;18,80;16,26;16,02;17,24;16,34;18,18;19,12;17,76;19,24;20,16;23,38;23,60;17,82;18,94;19,08;19,84;21,40;20,50;null;0,4;1,9;2,7;0,8;74,0;0,0;0,0;0,2;1,6;24,4;10,6;0,0;0,4;2,1;3,8;7,2;8,8;0,0;0,0;15,0;15,1;0,0;0,0;0,0;4,4;7,8;32,5;14,5;45,4;0,0;null;4,8;2,1;0,4;0,1;0,5;2,5;2,4;1,8;2,6;0,3;0,4;2,2;2,9;0,4;0,0;0,4;0,6;3,0;2,2;1,8;0,4;4,6;2,0;2,6;5,2;0,2;0,6;0,7;1,5;4,0;null
Juiz de Fora;2012;12;20,04;21,44;21,60;23,60;23,06;24,26;24,18;25,00;22,50;23,18;24,30;23,06;22,98;21,80;23,38;22,16;23,08;24,34;22,98;23,26;24,06;23,92;23,30;22,78;25,06;26,80;25,46;22,90;22,78;24,20;24,06;0,0;0,0;7,8;3,0;0,0;0,0;0,0;1,9;23,2;23,0;0,0;0,0;32,2;45,8;18,9;29,8;8,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;1,4;2,0;0,2;2,4;1,5;2,1;2,0;2,0;3,8;4,0;3,2;3,8;0,6;2,2;3,2;2,2;1,3;1,0;1,7;3,0;2,8;4,0;1,8;2,0;2,5;3,2;2,5;3,0;4,0;3,8;3,5;3,2;2,9;2,9
Juiz de Fora;2013;01;23,98;23,50;21,10;21,02;23,24;24,72;22,32;22,68;21,92;19,04;17,44;20,08;21,50;20,72;20,20;20,68;21,44;22,04;21,14;20,22;19,08;19,56;19,80;20,78;23,42;22,48;19,12;18,40;19,04;20,12;21,10;0,0;0,0;30,6;2,8;0,0;0,0;0,0;1,2;0,3;9,4;57,0;22,6;0,0;12,6;4,6;8,9;8,1;6,8;0,5;20,5;0,0;0,0;22,0;0,0;0,5;6,9;6,6;9,4;10,0;25,4;24,6;3,0;4,5;2,8;1,7;2,0;9,0;3,9;2,6;2,0;1,2;1,3;0,2;1,3;2,0;2,0;1,2;0,8;1,5;1,8;1,6;3,0;2,4;2,1;1,3;1,7;1,9;1,4;2,1;0,2;0,2;0,2
Juiz de Fora;2013;02;22,82;21,86;23,34;20,24;19,16;19,88;20,82;22,62;24,06;24,06;24,10;24,38;23,88;24,66;24,52;24,64;25,00;24,90;24,42;23,06;23,48;23,34;23,04;22,16;23,34;24,40;21,80;20,92;null;null;null;5,2;7,6;0,0;13,0;3,0;32,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;0,0;0,0;28,0;0,2;null;null;null;0,6;1,4;2,1;3,8;0,7;0,8;1,8;1,9;2,3;3,0;3,0;3,4;4,6;4,0;3,5;3,9;3,8;4,2;3,8;3,5;3,0;3,5;3,2;3,2;3,6;2,5;2,7;1,3;null;null;null
